#{"t_start": 1713060312.560961, "env_id": "SingleDC-v0"}
r,l,t,ep_job_wait_rew_mean,ep_util_rew_mean,ep_valid_count
-459.507567,2171,1129.687981,0.04672093748708676,0.007919046522339507,212
-335.195598,1727,1132.337987,0.03779572609432412,0.00871441806601004,160
-478.692343,2152,1135.334899,0.05118276228360117,0.008139521375464242,202
-544.207329,2297,1138.577132,0.0585690240114476,0.006532542446669185,178
-535.624151,2295,1141.854024,0.05670100998742602,0.006460588235293755,160
-536.543548,2267,1145.074332,0.057716826941581784,0.006844089104543017,154
-508.815682,2199,1148.126371,0.05540068518613244,0.006628444747612197,142
-451.423125,2076,1151.11183,0.049716356519362355,0.007384031791907059,196
-335.090685,1373,1153.24138,0.05925634240157899,0.010551238164603408,152
-497.491572,2202,1156.367103,0.05329773279411263,0.006680108991825232,162
-535.607643,2325,1159.677473,0.055430640602127226,0.006486967741935114,168
-301.052083,1317,1161.752871,0.052237271942967685,0.011436560364465092,170
-458.84936,2090,1164.832537,0.050057087011470734,0.007786076555023515,188
-450.142321,2012,1167.700747,0.05184624464905437,0.007141848906560226,148
-312.757862,1662,1169.735022,0.034610161236729775,0.009891064981948987,178
-311.019412,1336,1171.732028,0.05383576740757283,0.0110435254491022,152
-500.645315,2192,1174.926674,0.054173741752666454,0.007299977189780562,180
-503.056684,2195,1178.034088,0.05459569823736016,0.007267858769931161,182
-374.397002,1845,1180.791698,0.041783171125528096,0.009557560975609272,206
-423.701473,1980,1183.681647,0.046416471182524247,0.00928840909090874,194
-356.090735,1767,1186.276145,0.03895842148392389,0.011565534804753341,190
-496.607571,2166,1189.4717,0.053721309664596595,0.007817659279777895,162
-560.666715,2339,1192.734014,0.05884124484927802,0.007180568619067511,164
-471.614298,2115,1195.750142,0.051512191005481885,0.008086595744680356,200
-346.854479,1764,1198.444299,0.038494510060347424,0.010754081632652594,226
-483.215177,2134,1201.532892,0.053121757158993886,0.007781162136831759,190
-482.326615,2123,1204.510727,0.05258760081312805,0.008336552048986796,174
-518.906394,2214,1207.602969,0.056716746774844076,0.006841463414633733,152
-435.975709,1994,1210.455731,0.04919211076353535,0.008124373119357608,174
-559.463911,2363,1213.750419,0.05813129917979344,0.006838552687261515,180
-517.17561,2244,1216.915436,0.055332475323749,0.006748195187165417,168
-495.416688,2202,1220.499666,0.05266526330941473,0.0073790190735690256,186
-549.458777,2292,1223.696879,0.05955388296361488,0.006465510471203846,160
-565.509998,2348,1226.98655,0.059687095006618014,0.006837393526404989,164
-515.929938,2241,1230.2145,0.055047176360898266,0.007328313253011567,188
-512.805647,2223,1233.356942,0.055281102547943016,0.007128947368420656,178
